Date,Close,High,Low,Open,Volume
2014-09-25,11.820857048034668,11.820857048034668,11.296814112942931,11.820857048034668,29466046
2014-09-26,11.574662208557129,11.958022187898903,11.458598360934426,11.820856910242135,52165720
2014-09-29,11.272192001342773,11.718858917872446,11.184264950171881,11.606313691342843,39646379
2014-09-30,11.342538833618164,11.493772071149825,11.06469054558051,11.247577315644952,23121012
2014-10-08,11.613348960876465,11.680172756825609,11.2370234439138,11.32143191647481,24063782
2014-10-09,11.416396141052246,11.662590876390762,11.201854935653701,11.641488523097449,19229647
2014-10-10,11.254610061645508,11.521907132292846,11.201854181961787,11.412877700696669,15471648
2014-10-13,11.078756332397461,11.244058388217605,10.76925457169699,11.205371358411066,15703873
2014-10-14,10.980278015136719,11.244057378189758,10.94510681981324,11.078755337218318,10862576
2014-10-15,11.078756332397461,11.198336934639562,10.976761329396773,10.990829256565089,10734368
2014-10-16,10.990828514099121,11.145579383995436,10.973243836420302,11.071722081070062,14577332
2014-10-17,10.674294471740723,10.966210646306736,10.480855632523905,10.966210646306736,15394558
2014-10-20,11.001380920410156,11.001380920410156,10.67429446632289,10.67429446632289,11950781
2014-10-21,10.867731094360352,11.015448460327612,10.758702596071613,10.966209338338526,10329738
2014-10-22,10.621537208557129,11.004898118420227,10.607469281370518,10.90993661869285,11806499
2014-10-23,10.392928123474121,10.688361011530997,10.262796356818372,10.558230165249864,11740409
2014-10-24,10.46327018737793,10.614504325058808,10.375343106296093,10.477338115386134,8227730
2014-10-27,10.691878318786621,10.709462995559797,10.410513366295405,10.484370665416991,7782022
2014-10-28,10.945106506347656,10.959175352223962,10.66374155369111,10.72704859901074,11546425
2014-10-29,10.934556007385254,11.068204529216057,10.871248958156134,11.029516581228936,17678895
2014-10-30,10.695395469665527,10.990828358688104,10.681327543646468,10.927522231415026,14710809
2014-10-31,10.79738998413086,10.867730531472452,10.618019103398447,10.621535854653153,10615677
2014-11-03,11.1842679977417,11.237024795044446,10.825528034630874,10.895868590285167,20626993
2014-11-04,10.966209411621094,11.201852928081422,10.836078563092368,11.17019940381433,13806172
2014-11-05,10.793874740600586,10.95565912653432,10.649674113396543,10.857181794275704,9935573
2014-11-06,10.87828254699707,10.899384896906634,10.628571099609015,10.822009920696448,8944207
2014-11-07,10.660223960876465,11.01544710503077,10.660223960876465,10.881798602003757,15622782
2014-11-10,10.382377624511719,10.723533855454031,10.340172919730145,10.677811478357489,15500126
2014-11-11,9.861849784851074,10.459750842806363,9.780957148011609,10.403478224347115,18419335
2014-11-12,10.136183738708496,10.192456371173943,9.816129862726228,9.861852239455729,12763035
2014-11-13,9.897022247314453,10.164318369780018,9.812611928227046,10.13969926861367,9866773
2014-11-14,10.122115135192871,10.157285413089866,9.809095704298468,9.847782733872755,11485706
2014-11-17,9.981431007385254,10.14673397836307,9.812612205194686,10.14673397836307,20136726
2014-11-18,9.918123245239258,10.002533560655325,9.87591946809312,9.953294440089602,8296143
2014-11-19,10.178387641906738,10.357757621668481,9.921641763174458,9.935709690089702,19103033
2014-11-20,10.174869537353516,10.354239509490071,10.132665758401902,10.178387209213794,12144998
2014-11-21,10.195971488952637,10.25927945584502,10.12914769108651,10.132665362809455,10778769
2014-11-24,10.371825218200684,10.43513318823937,10.167836142741438,10.290933490546397,15954521
2014-11-25,10.55119514465332,10.621535690910536,10.333137242357006,10.41051313176433,16243275
2014-11-26,10.445685386657715,10.60395302632497,10.428099786569774,10.551197146435884,13485313
2014-11-27,10.508991241455078,10.642639773729258,10.403480404869835,10.456236283349813,13026739
2014-11-28,10.319069862365723,10.618020447728131,10.283899584242077,10.494923093733334,16276546
2014-12-01,10.013086318969727,10.410515177323957,9.984948622338774,10.410515177323957,14082518
2014-12-02,10.417548179626465,10.544162286122345,9.91812433671266,10.002534661417947,21178373
2014-12-03,10.508991241455078,10.586367143475519,10.224109497663202,10.417548332339592,20336620
2014-12-04,10.575815200805664,10.720014898318261,10.533611421457074,10.533611421457074,21457322
2014-12-05,10.11156177520752,10.568780852952477,9.970878840459136,10.533610579452668,23645503
2014-12-08,10.058808326721191,10.234661577311169,9.921643030558455,10.083427432061367,17491405
2014-12-09,9.693033218383789,10.305003318825976,9.693033218383789,9.946262384148628,22679763
2014-12-10,9.900540351867676,9.974397665460481,9.341327088595612,9.636760024465884,12191216
